Airport IATA,Year,Month,Delay Date,Efficiency Factor,Carrier Delay Percentage,Weather Delay Percentage,NAS Delay Percentage,Security Delay Percentage,Late Aircraft Delay Percentage
IAD,2015,8,201508,84.97,39.91,0,17.87,0,42.22
OKC,2015,8,201508,86.55,32.88,5.63,21.31,0,40.13
JAX,2015,8,201508,75.29,25.21,2.81,46.38,0,25.6
PWM,2015,8,201508,76.34,42.68,1.7,32.18,0,23.43
PVD,2015,8,201508,81.4,41.75,0,51.63,0,6.5
CID,2015,8,201508,80.6,50.46,0,14.92,0,34.62
SAF,2015,8,201508,93.55,50,0,50,0,0
LIT,2015,8,201508,84.5,31.2,0,31.93,0,36.9
CHA,2015,8,201508,82.13,38.18,0,23.09,0,38.74
HSV,2015,8,201508,80.46,42.35,2.91,35.65,0,19.09
ALB,2015,8,201508,90.11,72.44,0,16.11,0,11.44
MDT,2015,8,201508,82.35,60.22,8.22,11.67,0,19.89
MLI,2015,8,201508,73.55,58.34,2.66,23.5,0,15.5
SDF,2015,8,201508,77.5,35.93,3.7,35.96,0,24.41
IND,2015,8,201508,87.78,38.53,3.24,35.05,0,23.21
MFE,2015,8,201508,92.86,54.8,0,0,0,45.2
SAT,2015,8,201508,79.66,53.92,0,11.58,0,34.5
ERI,2015,8,201508,70.97,22.5,0,28.78,0,48.72
MKE,2015,8,201508,80.95,44.19,3.21,30.4,0,22.19
PBI,2015,8,201508,100,0,0,0,0,0
BWI,2015,8,201508,78.38,36,0,14.12,0,49.88
DAY,2015,8,201508,87.1,24.65,4.25,42.05,0,29
RIC,2015,8,201508,75.63,26.36,0.84,31.08,0,41.72
AUS,2015,8,201508,84.62,50,20.25,29.75,0,0
MYR,2015,8,201508,87.76,99.83,0,0.17,0,0
SAV,2015,8,201508,80.22,30.75,1.89,37.34,0,30.02
MHT,2015,8,201508,76.76,30.09,0,31.33,0,38.61
BTV,2015,8,201508,84.03,26.43,0,37.7,0,35.87
BNA,2015,8,201508,82.4,37.78,2.44,26.2,0,33.61
ATL,2015,8,201508,80.83,25.6,0,25.04,0,49.36
CLE,2015,8,201508,83.47,21.48,1.86,30.85,0,45.81
CMH,2015,8,201508,83.59,31.31,9.13,40.75,0,18.81
SBN,2015,8,201508,77.27,29.1,0,32.1,0,38.8
DTW,2015,8,201508,86.46,30.56,0,25.91,0,43.54
GRR,2015,8,201508,82.04,25.8,3.1,28.33,0,42.77
DSM,2015,8,201508,78.3,36.57,2.74,32.52,0,28.17
GSO,2015,8,201508,80.61,39.96,0,24.04,0,36
RDU,2015,8,201508,81.82,37.35,4.13,33.63,0,24.89
LGA,2015,8,201508,79.1,29.46,0,41.71,0,28.84
ORF,2015,8,201508,82.49,34.18,2.45,32.47,0,30.89
TVC,2015,8,201508,86.67,11.83,0,48.5,0,39.67
LAN,2015,8,201508,85.23,13.92,0,42.85,0,43.23
COS,2015,8,201508,80,16,0,84.33,0,0
CHS,2015,8,201508,81.93,43.14,4.65,33.44,0,18.77
SYR,2015,8,201508,82.8,24.75,0.38,35.56,0,39.25
AVL,2015,8,201508,86.49,33.85,0,18.6,0,47.55
CVG,2015,8,201508,81.4,25.53,4.15,35.75,0,34.58
LNK,2015,8,201508,77.62,37.06,4.72,41.38,0,16.84
DCA,2015,8,201508,85.37,19.33,2.56,51.53,0,26.58
FNT,2015,8,201508,84.09,21.21,6.14,29.93,0,42.71
BHM,2015,8,201508,83.22,30.71,2.24,25.53,0,41.53
CRP,2015,8,201508,85.62,30.27,13.86,43.55,0,12.32
ROA,2015,8,201508,73.63,44.85,2.08,35.02,0,18.04
MEM,2015,8,201508,83.68,30.58,4.91,44.33,0,20.18
HRL,2015,8,201508,88.18,37.54,17.77,27.15,0,17.54
AVP,2015,8,201508,70.25,30.75,0.33,32.58,0,36.36
MAF,2015,8,201508,89.44,33.73,5.4,29.2,0,31.67
FAR,2015,8,201508,81.76,18.93,3.26,38.56,0,39.22
BOS,2015,8,201508,82.91,29.85,0,46.83,0,23.32
ELP,2015,8,201508,84.04,37.33,0.8,49.8,0,12.07
CRW,2015,8,201508,82.35,40.52,7.58,28.15,0,23.76
SLC,2015,8,201508,100,0,0,0,0,0
ABQ,2015,8,201508,90,100,0,0,0,0
BDL,2015,8,201508,81.69,40.5,0,11.69,0,47.81
RSW,2015,8,201508,90,0,0,100,0,0
RAP,2015,8,201508,62.5,27,0.22,43,0,29.78
TUS,2015,8,201508,92.31,58,3.5,38,0,0
LBB,2015,8,201508,90.1,22.8,11.8,53,0,12.4
CAK,2015,8,201508,88.28,37.13,0,32.47,0,30.4
GJT,2015,8,201508,90.32,66.67,22,11.33,0,0
EVV,2015,8,201508,89.16,48.5,0,17.95,0,33.55
HDN,2015,8,201508,77.42,46.14,0,23.29,0,30.57
MSP,2015,8,201508,79.87,37.78,0.65,25.19,0,36.38
MTJ,2015,8,201508,95.24,0,0,100,0,0
ECP,2015,8,201508,80.68,29.12,2.35,38.88,0,29.59
HOB,2015,8,201508,80.39,53.4,3.8,28,0,14.7
ATW,2015,8,201508,79.65,29.22,7.78,47.04,0,15.96
ABY,2015,8,201508,86.25,22.18,0,26.09,0,51.73
PHF,2015,8,201508,78.15,49.23,0,13.38,0,37.38
ELM,2015,8,201508,87.94,47.54,0,28.83,0,23.63
SCE,2015,8,201508,84.72,23.68,1.05,34.91,0,40.41
PHX,2015,8,201508,100,0,0,0,0,0
CSG,2015,8,201508,81.37,32.84,0,18.42,0,48.79
FAY,2015,8,201508,81.05,60.72,0,19.61,0,19.67
BMI,2015,8,201508,73.45,51.87,0,9.9,0,38.23
BGM,2015,8,201508,89.66,0,0,0,0,100
HOU,2015,8,201508,73.6,67.27,0,23.73,0,9.03
FWA,2015,8,201508,87.5,65.67,0,0,0,34.33
ILM,2015,8,201508,82.17,38.82,0,15.5,0,45.68
AGS,2015,8,201508,81.4,60.17,0,14.04,0,25.79
RST,2015,8,201508,83.75,53.69,0,4,0,42.38
BQK,2015,8,201508,82.72,54.79,0,14.14,0,31.07
GNV,2015,8,201508,69.8,41.43,0,24.41,0,34.16
VLD,2015,8,201508,73.56,50.74,0,15.04,0,34.22
TRI,2015,8,201508,83.44,42.22,0,22.19,0,35.59
EYW,2015,8,201508,71.11,70.31,0,5.31,0,24.38
GTR,2015,8,201508,79.55,35.17,0,18.11,0,46.72
ABE,2015,8,201508,79.21,46.26,2.24,26.45,0,25.05
MCO,2015,8,201508,66.67,72.5,0,27.5,0,0
OAJ,2015,8,201508,75.47,60.23,0,17.42,0,22.35
BGR,2015,8,201508,85,50.67,0,5.33,0,44
MDW,2015,8,201508,87.39,63.29,0,18.43,0,18.29
AZO,2015,8,201508,66.67,66.67,0,0,0,33.33
DHN,2015,8,201508,85.47,42.18,0,32.47,0,25.35
DAL,2015,8,201508,100,0,0,0,0,0
SWF,2015,8,201508,0,100,0,0,0,0
EWN,2015,8,201508,73.68,48,0,14.07,0,37.93
MLB,2015,8,201508,69.23,52.5,0,20,0,27.5
CHO,2015,8,201508,80.77,51.4,0,22.2,0,26.6
BIL,2015,8,201508,66.67,14,0,51.25,0,34.75
RSW,2015,8,201508,81.52,23.53,0,39.35,0,37.18
LAS,2015,8,201508,75.5,20.45,1.19,55.67,0,22.69
DEN,2015,8,201508,79.47,19.26,0.45,50.28,0,30.01
DFW,2015,8,201508,83.87,17.75,4.9,29.95,0,47.4
ORD,2015,8,201508,69.12,15.13,3.47,57.49,0,23.91
MIA,2015,8,201508,68.28,15.88,0,62.78,0,21.34
PHL,2015,8,201508,70.61,18.28,5.95,48.59,0,27.18
ATL,2015,8,201508,76.39,13.72,0.8,57.28,0,28.2
LGA,2015,8,201508,80.65,31.89,0,48.44,0,19.67
AUS,2015,8,201508,83.77,38.68,0,42.48,0,18.84
IAD,2015,8,201508,74.06,31.22,1.18,38.45,0,29.15
MCO,2015,8,201508,71.43,22.32,1.38,53.84,0,22.46
DTW,2015,8,201508,83.75,24.54,0,40.92,0,34.54
MSP,2015,8,201508,80.1,33.08,2.41,47.64,0,16.85
CLE,2015,8,201508,81.65,22.69,2.84,47.62,0,26.84
RDU,2015,8,201508,78.23,37.89,0,51.67,0,10.48
SEA,2015,8,201508,73.58,30.82,0,60.04,0,9.14
DCA,2015,8,201508,83.87,20.13,6.67,37.53,0,35.67
PDX,2015,8,201508,84.95,40.43,0,31.86,0,27.64
IAH,2015,8,201508,80,31.58,4.97,55.19,0,8.26
SFO,2015,8,201508,85.48,20.96,0,62.07,0,16.96
STL,2015,8,201508,75,16.13,0.8,33.87,0,49.2
SLC,2015,8,201508,78.26,20.5,0,54.3,0,25.2
PHX,2015,8,201508,81.46,26.46,0,43.07,0,30.46
TTN,2015,8,201508,71.68,15.91,0.94,51.65,0,31.51
CVG,2015,8,201508,76.86,10.07,2.42,45.64,0,41.86
MSN,2015,8,201508,83.33,4.67,5,47,0,43.33
FLL,2015,8,201508,89.8,50.4,20,29.6,0,0
IND,2015,8,201508,76.74,22.45,0,50.3,0,27.25
MEM,2015,8,201508,90.91,0,0,50.25,0,49.75
LAX,2015,8,201508,68.87,17.53,0.15,61.55,0,20.77
MSY,2015,8,201508,83.87,8.4,0,51.6,0,40
SAN,2015,8,201508,90.16,27.33,0,42.67,0,30
CLT,2015,8,201508,72.58,19.94,0,54.53,0,25.53
TPA,2015,8,201508,78.69,27,0,41.65,0,31.35
GSO,2015,8,201508,100,0,0,0,0,0
BZN,2015,8,201508,77.78,51.25,0,48.75,0,0
MCI,2015,8,201508,77.42,9.57,0,35.86,0,54.57
BNA,2015,8,201508,93.55,13,0,87,0,0
OMA,2015,8,201508,83.33,4.33,0,95.67,0,0
SNA,2015,8,201508,88.71,31,0,34.43,0,34.57
MKE,2015,8,201508,87.1,26.25,0,25,0,48.75
DSM,2015,8,201508,88.89,5.5,0,52,0,43
ISN,2015,8,201508,80.65,24.5,0,75.5,0,0
TYS,2015,8,201508,76.92,40.33,0,38.33,0,21
BIS,2015,8,201508,76.92,0,0,95,0,5
UST,2015,8,201508,46.15,13.57,0,65,0,21.43
FSD,2015,8,201508,76.92,38.67,0,61.33,0,0
CID,2015,8,201508,61.54,40,16.2,38.2,0,5.6
MSO,2015,8,201508,61.54,50,0.6,30,0,19.4
OGG,2015,8,201508,82.82,52.31,2.96,1.5,0,43.23
PDX,2015,8,201508,70.97,96.33,0,0,3.67,0
HNL,2015,8,201508,79.85,43.5,1.34,2.2,0.06,52.9
SEA,2015,8,201508,74.19,85.06,0,0,0,14.94
LAX,2015,8,201508,87.98,76.14,0,0,3.32,20.55
PHX,2015,8,201508,61.29,73.17,3.92,0,0,22.83
SFO,2015,8,201508,82.26,88.18,0,3.91,1.18,6.73
SJC,2015,8,201508,79.03,71.62,0,0,0,28.38
OAK,2015,8,201508,89.89,66.22,0,0,0,33.78
LAS,2015,8,201508,86.67,98.1,0,0,0,1.9
SAN,2015,8,201508,87.1,65,21.25,0,10.25,3.5
SMF,2015,8,201508,77.42,82.29,0,0,0,17.71
LIH,2015,8,201508,84.98,41.25,1.89,3.95,0.36,52.53
KOA,2015,8,201508,87.29,52.96,2.94,1.43,0,42.67
ITO,2015,8,201508,83.08,44.85,5.8,1.43,0,47.92
DFW,2015,8,201508,85.99,25.63,4.56,28.34,0,41.46
TVC,2015,8,201508,86.61,29.82,18.24,25.47,0,26.47
CLL,2015,8,201508,90.85,51.64,7.14,14.07,0,27.21
JFK,2015,8,201508,67.74,100,0,0,0,0
DCA,2015,8,201508,72.48,25.44,0.02,18.8,0,55.76
SDF,2015,8,201508,90.91,22.67,0,11.33,0,66
ORD,2015,8,201508,85.13,21.42,5.61,32.48,0.01,40.48
PIT,2015,8,201508,81.67,29.18,3.09,16.73,0,51
SYR,2015,8,201508,77.03,33.12,8.76,25.26,0,32.82
STL,2015,8,201508,77.01,42.25,3.2,23.7,0,30.85
DSM,2015,8,201508,79.89,50.61,6.08,14.86,1.64,26.81
SGF,2015,8,201508,87.8,45.8,5.34,13.71,0,35.14
MHK,2015,8,201508,89.68,30.69,17.5,22.06,0,29.75
CMI,2015,8,201508,92.31,32.13,25.33,9.4,0,33.13
GRR,2015,8,201508,85.02,31.9,5.65,14.03,0.38,48.08
MEM,2015,8,201508,91.26,56.22,18.33,14.44,0,10.89
CWA,2015,8,201508,84.06,37.09,0,40.73,0,22.18
IND,2015,8,201508,90.64,34.19,14.12,26.13,0,25.56
LGA,2015,8,201508,71.24,18.32,2.54,37.71,0,41.43
BUF,2015,8,201508,79.07,40.17,5.56,4,0,50.28
PHL,2015,8,201508,100,0,0,0,0,0
PNS,2015,8,201508,72.95,56.33,3.03,17.52,0,23.15
HSV,2015,8,201508,85.56,34.23,0,43.46,0,22.31
FAR,2015,8,201508,83.58,47.68,7,15.77,0,29.59
RDU,2015,8,201508,68.52,27.73,0.1,23.67,0,48.51
RIC,2015,8,201508,75.11,25.14,5.75,23.93,0,45.18
SPS,2015,8,201508,91.8,39.3,0,57.4,0,3.4
BMI,2015,8,201508,86.81,52.53,13.11,5.58,0,28.79
FSD,2015,8,201508,84.09,56.5,5.79,22.07,0,15.64
CID,2015,8,201508,81.34,42.54,4.52,14.94,0,38
CMH,2015,8,201508,79.63,32.9,3.23,22.01,0,41.86
GSO,2015,8,201508,73.24,40.95,1.21,16.05,0,41.74
GRK,2015,8,201508,93.33,46.14,0,42.71,0,11.14
XNA,2015,8,201508,73.79,37.19,5.16,14.69,0,42.96
CVG,2015,8,201508,81.51,46.22,5.4,28.93,0.28,19.19
DTW,2015,8,201508,68,36.08,0.73,35.83,0,27.33
FSM,2015,8,201508,73.91,48.33,0,13.17,0,38.5
AMA,2015,8,201508,94.44,53,0,0,0,47
BPT,2015,8,201508,78.26,40.5,0,7,0,52.5
GSP,2015,8,201508,89.19,64.5,0,10.5,0,25
DRO,2015,8,201508,88.17,31,8.36,22,0,38.64
TUL,2015,8,201508,85.88,59.25,1.54,6.38,2.75,30.08
LFT,2015,8,201508,83.76,43.11,1.53,25.84,3.95,25.58
ABI,2015,8,201508,90.95,41.53,5.26,24.84,0,28.37
LRD,2015,8,201508,83.33,58.83,2.33,7.92,0,31
CRP,2015,8,201508,90.7,50,0,25,0,25
MIA,2015,8,201508,82.11,34.73,1.26,20.31,0,43.72
JAN,2015,8,201508,86.67,42.88,0,28.63,8,20.63
BTR,2015,8,201508,82.76,91.4,0,8.6,0,0
SAF,2015,8,201508,89.61,53,2.75,39.75,0,4.5
BNA,2015,8,201508,72.6,36.2,3.61,19.73,0.23,40.24
ORF,2015,8,201508,60,58,0,0,0,42
DAY,2015,8,201508,85.88,35.04,13.64,20,0,31.28
AEX,2015,8,201508,85,58.33,0,13.89,0,27.78
HPN,2015,8,201508,91.11,39,0,25.25,0,35.75
GJT,2015,8,201508,93.26,15.33,0,33.33,5.33,45.83
BWI,2015,8,201508,88.24,55.36,7.14,13,0,24.5
CLE,2015,8,201508,73.75,52.21,2.69,18.1,0,27
OKC,2015,8,201508,80.39,37.32,3.24,11.56,0,47.88
MGM,2015,8,201508,89.19,74,0,14,0,12.13
CHO,2015,8,201508,80.65,25.5,0,55.17,0,19.5
PIA,2015,8,201508,90.34,46,6.06,20.12,0,27.76
MSN,2015,8,201508,89.67,35.79,4.05,30.21,0,29.95
FNT,2015,8,201508,83.52,39,7.47,10.2,0,43.33
SJT,2015,8,201508,88.67,33.12,5.41,18.88,0.88,41.65
BHM,2015,8,201508,78.08,48.5,6.25,17,0,28.25
SAV,2015,8,201508,88.33,55.29,14.29,0.86,0,29.57
COU,2015,8,201508,82.79,53,4.76,16.19,0,26.05
LIT,2015,8,201508,79.65,52.02,2.17,21.87,0,23.96
EWR,2015,8,201508,90,72.25,0,27.75,0,0
DBQ,2015,8,201508,88.64,58.2,0,23.5,0,18.2
GCK,2015,8,201508,91.94,45.2,0,7,0,47.8
MLI,2015,8,201508,86.78,48.17,8.7,16.91,0,26.22
TYS,2015,8,201508,76.47,25.75,6.5,43.5,0,24.25
AZO,2015,8,201508,90.16,33.83,9.92,26.25,0,30
JFK,2015,8,201508,83.69,22.42,1.53,32.97,0,43.11
ELP,2015,8,201508,85.48,29.78,9.33,19.11,0,41.89
MAF,2015,8,201508,84.06,69.55,0,17.55,0,12.91
ALO,2015,8,201508,84.21,46.11,0,17.89,0,36
ROW,2015,8,201508,94.62,64,0,0,0,36
ASE,2015,8,201508,90.2,45,0,35.4,0,19.6
GGG,2015,8,201508,80,64.33,0,25,0,10.67
ICT,2015,8,201508,80.95,59.83,7.58,6.83,8.33,17.42
TLH,2015,8,201508,87.1,47.5,0,27.5,0,25
GNV,2015,8,201508,72.55,45.71,1.21,8.14,0,44.93
ATL,2015,8,201508,71.35,44.27,2.12,26.88,0,26.73
BDL,2015,8,201508,81.67,40.55,0,27.18,0,32.27
GRB,2015,8,201508,89.92,13.42,8.33,31,0,47.25
FWA,2015,8,201508,82.12,42.97,8.53,10.63,0,37.88
BIS,2015,8,201508,79.03,47.31,0.69,16.54,0,35.46
EVV,2015,8,201508,86.99,42.53,5.47,14.26,0,37.74
MQT,2015,8,201508,84.62,37.5,0,13.25,0,49.25
HOU,2015,8,201508,73.16,34.75,9.94,20.47,0,34.86
MDT,2015,8,201508,84.52,26.38,15.38,24.23,0,34
MOB,2015,8,201508,84.62,53.36,0,30.57,0,16.07
MTJ,2015,8,201508,92.86,22,0,0,0,78
SUX,2015,8,201508,85.96,14,24,25,0,36.88
LSE,2015,8,201508,89.09,34.42,19.58,16.17,0,29.83
GRI,2015,8,201508,84.21,78.56,0,7.78,0,13.67
CHA,2015,8,201508,93.55,50,0,0,0,50
LBB,2015,8,201508,92.31,0,0,100,0,0
LEX,2015,8,201508,85.23,40.38,8.46,7.31,0,43.77
LAX,2015,8,201508,94.12,0,0,59,0,41
EYW,2015,8,201508,88.89,57.2,20,2.8,0,20
TOL,2015,8,201508,91.4,22.13,4.5,13.88,0,59.5
RST,2015,8,201508,86.29,38.47,19.65,21.71,0,20.12
ROC,2015,8,201508,86.29,52.24,1.06,16.88,0,29.82
CWA,2015,8,201508,80.65,24.83,0,46.17,0,28.92
JAX,2015,8,201508,85.48,47,10,32.67,0,10.44
RAP,2015,8,201508,79.17,38.8,20,28,0,13.2
OMA,2015,8,201508,85.48,49.33,0,19.67,0,31.11
TXK,2015,8,201508,100,0,0,0,0,0
ACY,2015,8,201508,69.5,19.15,0.81,52.19,0.7,27.14
FLL,2015,8,201508,67.95,21.17,0.68,56.82,0.39,20.95
CLE,2015,8,201508,69.76,21.81,1.67,42.68,0,33.84
ATL,2015,8,201508,58.09,22.92,2.96,53.72,0,20.39
LAS,2015,8,201508,69.82,17.44,1.92,52.89,0,27.76
ORD,2015,8,201508,65.69,15.36,0.35,59.89,0.12,24.28
DFW,2015,8,201508,66.43,20.25,0.52,49.73,0.11,29.39
PHL,2015,8,201508,56.13,19.44,0.97,46.15,0,33.44
MYR,2015,8,201508,69.48,25.88,1.63,46.87,0,25.63
CRW,2015,8,201508,100,0,0,0,0,0
MSP,2015,8,201508,51.29,27.78,0.36,49.6,0,22.25
IAG,2015,8,201508,62.96,33.8,0,35.1,0,31.1
PDX,2015,8,201508,64.52,27.39,0,31.91,1.88,38.82
BWI,2015,8,201508,61.29,21.34,1.89,51.92,1.36,23.49
MCO,2015,8,201508,68.16,24.37,0.59,52.56,0,22.48
LAX,2015,8,201508,56.39,20.95,0,59,0.36,19.69
DTW,2015,8,201508,63.43,15.1,1.56,50.23,0,33.11
IAH,2015,8,201508,59.2,20.1,2.51,55.16,0.62,21.61
TPA,2015,8,201508,60.67,22.16,0.09,57.61,0,20.13
BOS,2015,8,201508,65.73,15.82,0,56.24,0,27.94
SAN,2015,8,201508,81.72,27.41,0,50.85,0,21.76
DEN,2015,8,201508,67.01,21,1.06,53.91,0,24.04
PHX,2015,8,201508,74.19,21,0,40.88,1.19,36.88
LGA,2015,8,201508,72.43,26.5,2.53,58.5,0,12.47
LBE,2015,8,201508,68.71,12.3,0,44.61,0,43.09
OAK,2015,8,201508,70.32,33.41,1.74,35.28,0,29.54
RSW,2015,8,201508,73.68,10.73,0,41.53,0,47.73
MCI,2015,8,201508,74.84,30.31,0,40.51,0,29.18
MSY,2015,8,201508,60.65,18.41,4.23,53.11,1.41,22.84
PBG,2015,8,201508,61.54,17.4,0,23.8,0,58.8
PHX,2015,8,201508,84.63,22.38,1.88,27,0.34,48.4
RAP,2015,8,201508,87.22,38.78,0,23.31,0,37.91
DTW,2015,8,201508,84.46,29.12,2.8,26.15,0.78,41.16
LSE,2015,8,201508,94.83,66.67,0,33.33,0,0
MKE,2015,8,201508,81.42,37.07,4.79,19.29,0,38.85
DLH,2015,8,201508,78.52,35.9,0.86,34.21,0,29.03
FSD,2015,8,201508,75,27.98,5.62,27.74,0,38.66
JAC,2015,8,201508,71.88,63.44,2.17,13.72,0,20.69
LAN,2015,8,201508,91.53,40,0,6.2,0,53.8
LAX,2015,8,201508,71.55,11.46,1.72,46.67,0.01,40.13
MSP,2015,8,201508,82.5,19.71,4,45.28,0.03,30.98
SLC,2015,8,201508,89.34,24.46,3.61,15.94,0.43,55.55
DEN,2015,8,201508,84.5,18,2.87,30.73,0.14,48.26
SBN,2015,8,201508,81.25,31.83,0.96,18.68,0,48.54
BNA,2015,8,201508,82.21,20.18,7.58,35.22,0,37.02
BOI,2015,8,201508,78.08,28.57,0.67,15.09,0,55.68
SEA,2015,8,201508,77.96,18.15,4.71,35.17,0.47,41.5
ORD,2015,8,201508,80.83,15.93,3.24,31.74,0.07,49.03
SBP,2015,8,201508,80.26,22.36,1.78,12.93,0,62.93
DRO,2015,8,201508,80,49.57,0,16.43,0,34
MSY,2015,8,201508,77.14,49.63,6.63,13.58,0,30.17
ICT,2015,8,201508,76.55,31.89,5,28.21,0,34.91
SAN,2015,8,201508,79.81,33.57,0,13.54,0,52.89
TUS,2015,8,201508,81.28,40.39,1.47,15.58,1.7,40.86
EUG,2015,8,201508,83.33,35.52,0,6.23,0,58.25
MRY,2015,8,201508,76.3,25.16,3.47,20.03,0,51.34
ABQ,2015,8,201508,78.76,44.42,1.44,13.65,0,40.49
SAT,2015,8,201508,83.33,45.11,3.77,17.09,0.25,33.77
PSP,2015,8,201508,78.03,31.11,4.01,24.54,0,40.33
ELP,2015,8,201508,81.01,50.8,5.43,10.43,0,33.33
GJT,2015,8,201508,85.14,32.08,0.27,24.73,0,42.88
FAT,2015,8,201508,76.28,31.42,1.28,14.6,1.05,51.66
OAK,2015,8,201508,76.83,31.79,0,8.86,0,59.35
FLG,2015,8,201508,78.11,36.62,4.73,19.16,0.86,38.59
AUS,2015,8,201508,82.14,50.17,1.82,16.13,0,31.88
SAF,2015,8,201508,93.55,50,0,0,0,50
BFL,2015,8,201508,79.51,47.24,1.78,18.04,0,32.94
BUR,2015,8,201508,89,41.51,0,9.86,0,48.6
IDA,2015,8,201508,86.96,40.73,3.55,10.18,0,45.55
SMF,2015,8,201508,73.9,36.29,0,15.49,0,48.22
SJC,2015,8,201508,76.11,34.44,0,9.07,0,56.49
SFO,2015,8,201508,75.62,10.33,1.24,42.02,0.13,46.28
RDM,2015,8,201508,83.98,30.03,0,15.84,0,54.16
IND,2015,8,201508,79.17,71,14.4,8,0,6.6
ACV,2015,8,201508,71.31,21.34,3.83,4.57,0,70.26
CVG,2015,8,201508,75.74,35.71,5.66,29.84,0,28.79
MCI,2015,8,201508,73.89,42.07,0,20.17,0,37.73
OKC,2015,8,201508,79.04,40.33,1.6,16.67,0,41.4
DFW,2015,8,201508,77.28,46.91,4.35,22.46,0.23,26.05
MAF,2015,8,201508,83.85,37.38,0,22.48,4.76,35.38
BZN,2015,8,201508,86.87,44.88,0,29.56,0,25.59
MIA,2015,8,201508,68.18,85.43,0,14.57,0,0
COS,2015,8,201508,73.21,30.29,2.86,18.04,0.42,48.39
XNA,2015,8,201508,85.47,36.41,2.53,14.88,5.88,40.35
ASE,2015,8,201508,76.44,49.17,0.93,23.49,0,26.41
IAH,2015,8,201508,81.72,25.1,3.02,22.89,0,48.98
PDX,2015,8,201508,87.89,37.56,0,12.13,0,50.31
OMA,2015,8,201508,82.35,48.93,1.63,20.89,0,28.56
FWA,2015,8,201508,82.72,36.18,0.45,27.04,0,36.34
GEG,2015,8,201508,81.22,25.24,0,16.81,0,57.95
FNT,2015,8,201508,75.32,24.37,5.53,31.63,0,38.47
BIS,2015,8,201508,85.44,30.92,5.42,16.24,0,47.42
LAS,2015,8,201508,80.67,31.83,0,33.45,0,34.72
SUN,2015,8,201508,82.81,58.18,0,15.59,0,26.18
LAR,2015,8,201508,96.15,50,0,0,0,50
FCA,2015,8,201508,84.19,54.76,0,24.76,0,20.47
TUL,2015,8,201508,86.03,62.11,0,29.26,0,8.68
ONT,2015,8,201508,86.8,31.29,0,13.85,2.94,51.91
MSN,2015,8,201508,82.32,37.66,4.83,21.1,0,36.41
ATW,2015,8,201508,85.11,38.86,6.81,16.48,0,37.86
DAY,2015,8,201508,82.72,33.73,2.12,22.18,0,41.97
ISN,2015,8,201508,87.94,44.25,2.54,25.67,0,27.58
SBA,2015,8,201508,84.48,31.21,0,17.56,1.54,49.71
DCA,2015,8,201508,84.21,46.7,4.1,30.4,0,18.77
GRB,2015,8,201508,86.49,37.8,6.67,40,0,15.53
PIT,2015,8,201508,73.53,51.22,5.67,26.22,0,16.89
DSM,2015,8,201508,81.54,44.79,6.33,31.38,0,17.5
RNO,2015,8,201508,77.64,37.74,1.21,10.43,0,50.6
CHS,2015,8,201508,74.68,56.4,0,8.05,0,35.6
AVL,2015,8,201508,82.65,54.06,0,16.88,0,29.06
GCC,2015,8,201508,92.05,28.57,0,0,0,71.43
STL,2015,8,201508,86.79,54.14,8.38,17.24,0,20.24
ATL,2015,8,201508,82.5,35.86,3.96,27.26,2.44,30.48
CAE,2015,8,201508,77.78,6.5,0,10,0,83
BOS,2015,8,201508,83.33,14,34,0,0,52.5
MBS,2014,6,201406,69.35,35.37,0,8.53,0,56.11
MCI,2014,6,201406,63.73,37.15,0,17.04,0,45.81
EWR,2014,6,201406,100,0,0,0,0,0
DIK,2014,6,201406,83.33,28.8,0,24.6,0,46.7
STL,2014,6,201406,100,0,0,0,0,0
MIA,2014,6,201406,36.84,42.11,2,40.89,0,14.97
TPA,2014,6,201406,91.3,69.5,0,30.5,0,0
CLT,2014,6,201406,72.73,65.67,0,20.83,0,13.5
DAL,2014,6,201406,52.94,27,9.38,19.5,0,44.25
BOS,2014,6,201406,50,61.44,0,27.83,0,10.72
RDU,2014,6,201406,80,0,0,0,0,100
RSW,2014,6,201406,63.64,26.25,14.5,18.25,0,41
PIA,2014,6,201406,63.33,11.45,0,7.73,0,80.91
MTJ,2014,6,201406,78.57,7.5,0,52.5,0,40
BHM,2014,6,201406,72.73,64.67,0,35.33,0,0
MAF,2014,6,201406,78.57,32,6.44,27.59,0,33.96
AZO,2014,6,201406,77.27,71,0,3.2,0,25.8
BDL,2014,6,201406,100,0,0,0,0,0
IND,2014,6,201406,37.5,33.88,5.96,22.44,0,37.76
SDF,2014,6,201406,49.06,18.41,0,33.19,0,48.44
SGF,2014,6,201406,57.14,28,0,32.79,0,39.17
BTR,2014,6,201406,70,40.83,0,23.17,0,36.17
DCA,2014,6,201406,43.69,25.14,2.21,31,0,41.66
MLI,2014,6,201406,51.85,22.08,0.26,27.56,0,50.08
GCC,2014,6,201406,86.67,46.88,11.56,21.63,0,20
SGU,2014,6,201406,91.78,47.17,3,7.75,0,42.08
LGA,2014,6,201406,62.5,13.33,0,85,0,1.67
LEX,2014,6,201406,42.86,27,0,27,0,46
EAU,2014,6,201406,60,16.96,0,9.33,0,73.71
PAH,2014,6,201406,55,13.33,0,19.3,0,67.37
CEC,2014,6,201406,72.84,23.18,0,25.41,0,51.36
CHS,2014,6,201406,61.54,37.1,0,35.5,0,27.3
